Year,Haul,ADFG_Station,Sex,Size_mm,Legal,Shell,Other,Clutch,Egg Stage,Egg condition,Egg color,Durometer,JM
1996,2,184,1,56,1,2,2,0,0,0,0,42,
1996,2,184,1,62,1,2,2,0,0,0,0,20,
1996,2,184,1,65,1,2,2,0,0,0,0,37,
1996,2,184,1,66,1,2,2,0,0,0,0,33,
1996,2,184,1,68,1,2,2,0,0,0,0,39,
1996,2,184,1,68,1,2,2,0,0,0,0,39,
1996,2,184,1,68,1,2,2,0,0,0,0,37,
1996,2,184,1,70,1,2,2,0,0,0,0,30,
1996,2,184,1,70,1,2,2,0,0,0,0,25,
1996,2,184,1,71,1,2,2,0,0,0,0,37,
1996,2,184,1,71,1,2,2,0,0,0,0,36,
1996,2,184,1,72,1,2,2,0,0,0,0,37,
1996,2,184,1,72,1,2,2,0,0,0,0,40,
1996,2,184,1,72,1,2,2,0,0,0,0,26,
1996,2,184,1,72,1,2,2,0,0,0,0,35,
1996,2,184,1,73,1,2,2,0,0,0,0,38,
1996,2,184,1,73,1,2,2,0,0,0,0,22,
1996,2,184,1,73,1,2,2,0,0,0,0,23,
1996,2,184,1,73,1,2,2,0,0,0,0,43,
1996,2,184,1,73,1,2,2,0,0,0,0,0,
1996,2,184,1,74,1,2,2,0,0,0,0,33,
1996,2,184,1,77,1,2,2,0,0,0,0,38,
1996,2,184,1,77,1,2,2,0,0,0,0,37,
1996,2,184,1,77,1,2,2,0,0,0,0,27,
1996,2,184,1,77,1,2,2,0,0,0,0,32,
1996,2,184,1,77,1,2,1,0,0,0,0,0,
1996,2,184,1,78,1,2,2,0,0,0,0,36,
1996,2,184,1,78,1,2,2,0,0,0,0,38,
1996,2,184,1,78,1,2,2,0,0,0,0,20,
1996,2,184,1,79,1,2,2,0,0,0,0,20,
1996,2,184,1,80,1,2,2,0,0,0,0,37,
1996,2,184,1,80,1,2,2,0,0,0,0,33,
1996,2,184,1,82,1,1,2,0,0,0,0,30,
1996,2,184,1,82,1,2,2,0,0,0,0,30,
1996,2,184,1,82,1,2,2,0,0,0,0,25,
1996,2,184,1,82,1,2,2,0,0,0,0,25,
1996,2,184,1,83,1,2,2,0,0,0,0,29,
1996,2,184,1,83,1,2,2,0,0,0,0,36,
1996,2,184,1,84,1,2,1,0,0,0,0,30,
1996,2,184,1,85,1,2,2,0,0,0,0,29,
1996,2,184,1,86,1,2,2,0,0,0,0,30,
1996,2,184,1,87,1,2,2,0,0,0,0,35,
1996,2,184,1,88,1,2,2,0,0,0,0,37,
1996,2,184,1,88,1,2,2,0,0,0,0,0,
1996,2,184,1,88,1,2,2,0,0,0,0,27,
1996,2,184,1,89,1,2,2,0,0,0,0,23,
1996,2,184,1,90,1,2,2,0,0,0,0,28,
