Year,Vessel,Haul,NMFS_Station,Sex,Size_mm,Shell,Egg color,Egg condition,Clutch,Weight,Chela,Sampling Factor
2010,89,14,S-19,1,97,3,,,,,,1
2010,89,16,R-20,2,108,2,2,1,6,,,1
2010,94,5,T-01,1,144,3,,,,,,1
2010,94,5,T-01,1,115,4,,,,1350,,1
2010,94,7,U-02,1,121,4,,,,,,1
2010,94,48,DD-03,2,78,2,0,0,0,,,1
2010,94,48,DD-03,1,60,2,,,,126,11,1
2010,94,48,DD-03,1,46,2,,,,60,11,1
2010,94,48,DD-03,1,41,2,,,,,,1
2010,94,48,DD-03,1,49,2,,,,,,1
2010,94,48,DD-03,1,47,2,,,,,,1
2010,94,48,DD-03,2,52,2,0,0,0,,,1
2010,94,52,BB-03,2,96,2,5,1,6,724,,1
2010,94,56,Y-04,1,103,3,,,,866,33,1
2010,94,56,Y-04,1,109,4,,,,,,1
2010,94,56,Y-04,2,96,2,5,1,5,,,1
2010,94,58,ZZ-05,2,86,2,5,1,6,,,1
2010,94,59,AA-05,1,95,2,,,,758,31,1
2010,94,59,AA-05,1,92,3,,,,692,29,1
2010,94,59,AA-05,1,128,4,,,,1740,43,1
2010,94,59,AA-05,1,86,3,,,,456,25,1
2010,94,59,AA-05,1,108,4,,,,,,1
2010,94,61,BB-04,1,113,3,,,,1144,36,1
2010,94,62,BB-05,1,103,3,,,,894,32,1
2010,94,62,BB-05,1,96,3,,,,762,29,1
2010,94,62,BB-05,1,100,3,,,,820,30,1
2010,94,62,BB-05,1,87,2,,,,506,27,1
2010,94,62,BB-05,1,75,2,,,,324,21,1
2010,94,62,BB-05,1,109,3,,,,1112,34,1
2010,94,62,BB-05,1,88,3,,,,1516,27,1
2010,94,62,BB-05,1,100,3,,,,,,1
2010,94,62,BB-05,1,101,3,,,,,,1
2010,94,63,BB-06,1,94,2,,,,644,29,1
2010,94,63,BB-06,1,82,2,,,,416,24,1
2010,94,63,BB-06,1,100,3,,,,,,1
2010,94,63,BB-06,1,99,2,,,,,,1
2010,94,65,BB-07,1,107,3,,,,1058,36,1
2010,94,65,BB-07,1,110,3,,,,1032,35,1
2010,94,65,BB-07,1,123,2,,,,1322,40,1
2010,94,65,BB-07,1,42,2,,,,,,1
2010,94,65,BB-07,1,113,4,,,,,,1
2010,94,66,AA-07,1,102,2,,,,866,33,1
2010,94,66,AA-07,2,87,2,5,1,6,416,,1
2010,94,67,AA-08,2,106,2,5,1,6,758,,1
2010,94,68,BB-08,1,109,3,,,,1090,37,1
2010,94,68,BB-08,1,76,3,,,,356,22,1
2010,94,68,BB-08,1,114,4,,,,1248,36,1
2010,94,68,BB-08,1,75,3,,,,,,1
2010,94,68,BB-08,1,23,2,,,,,,1
2010,94,68,BB-08,2,40,2,0,0,0,,,1
2010,94,68,BB-08,2,80,2,0,0,0,,,1
2010,94,69,BB-09,1,114,3,,,,1300,39,1
2010,94,69,BB-09,1,18,2,,,,6,5,1
2010,94,69,BB-09,1,17,2,,,,,,1
2010,94,69,BB-09,1,22,2,,,,,,1
2010,94,69,BB-09,2,20,2,0,0,0,,,1
2010,94,69,BB-09,2,16,2,0,0,0,,,1
2010,94,70,AA-10,2,78,2,5,1,5,,,1
2010,94,70,AA-10,2,80,2,5,1,5,,,1
2010,94,71,BB-10,2,59,2,0,0,0,,,1
2010,94,72,CC-10,2,98,2,5,1,4,584,,1
2010,94,73,CC-09,2,24,2,0,0,0,,,1
2010,94,73,CC-09,1,116,3,,,,,,1
2010,94,75,CC-07,1,29,2,,,,16,9,1
2010,94,75,CC-07,1,27,2,,,,,,1
2010,94,75,CC-07,1,46,2,,,,,,1
2010,94,75,CC-07,1,27,2,,,,,,1
2010,94,75,CC-07,1,22,2,,,,,,1
2010,94,75,CC-07,1,22,2,,,,,,1
2010,94,75,CC-07,1,109,3,,,,,,1
2010,94,75,CC-07,1,95,3,,,,,,1
2010,94,75,CC-07,1,60,3,,,,,,1
2010,94,75,CC-07,1,89,3,,,,,,1
2010,94,76,CC-06,1,31,2,,,,16,8,1
2010,94,76,CC-06,1,51,2,,,,,,1
2010,94,76,CC-06,2,74,2,5,1,5,286,,1
2010,94,76,CC-06,2,75,2,5,1,5,288,,1
2010,94,76,CC-06,2,84,2,5,1,5,414,,1
2010,94,76,CC-06,2,79,2,5,1,5,,,1
2010,94,76,CC-06,2,70,2,5,1,5,,,1
2010,94,76,CC-06,2,102,2,5,1,5,,,1
2010,94,77,CC-05,1,101,3,,,,,,1
2010,94,77,CC-05,1,116,3,,,,,,1
2010,94,77,CC-05,2,74,2,5,1,5,,,1
2010,94,77,CC-05,1,103,3,,,,876,33,1
2010,94,77,CC-05,1,94,3,,,,692,29,1
2010,94,77,CC-05,1,112,4,,,,1124,34,1
2010,94,77,CC-05,1,93,3,,,,604,27,1
